keyword,reply_content,match_type,corpus,match_1,match_1_weight,match_2
help,"@我并发送：
help – 帮助信息
日经 – 各种日经问题解答
版本 – 获取当前版本号及日志
教程 - 所有 REAPER 教程
视频 - REAPER 里与视频相关的事
批处理 - 用 REAPER 解放双手
频谱 - REAPER 也可以使用频谱
侧链 – 如何在REAPER使用侧链
主题 – 官方主题库
     - 发送@我「找主题+主题名」",full,,,,
版本,"REAPER最新版本为：【{}】
点击查看更新了什么：https://lado.me/reaper-whatsnew",part,"现在版本,更新版本,目前版本,最新版本,当前版本,什么版本,多少版本",版本,,
文档,Ryusa制作的REAPER中文文档：http://docs.reaget.com,part,"有文档,文档地址,文档网址,文档网站",文档,,
教程,"群友的专栏/博客：
Moy专栏：http://zhuanlan.zhihu.com/reaper
RCJacH博客：https://rcjach.github.io/cn/
K酱博客：http://blog.reamix.org/
Ryusa中文文档：http://docs.reaget.com
官方视频: http://reaper.fm/videos.php
REAPER 基础视频教程（中文字幕）by MidiSoft https://space.bilibili.com/415622576/video",part,"视频教程,有没有教程,最新教程,官方教程,哪里教程,自学教程,自学教材",教程,60,
视频,"如何导入任意格式的视频？https://zhuanlan.zhihu.com/p/31274984
让REAPER支持更多视频格式 https://www.soundengine.cn/topic/24/%E8%AE%A9reaper%E6%94%AF%E6%8C%81%E6%9B%B4%E5%A4%9A%E8%A7%86%E9%A2%91%E6%A0%BC%E5%BC%8F-%E7%A7%BB%E5%8A%A8%E4%BE%BF%E6%90%BA%E7%89%88%E7%AF%87",part,"视频格式,导入视频,视频格式",视频,20,
批处理,REAPER Regions Export：https://zhuanlan.zhihu.com/p/32206947,part,"批量导出,批量处理","导出,处理",,批量
频谱,频谱编辑：https://zhuanlan.zhihu.com/p/32101728,part,"频谱编辑,光谱编辑",频谱,,
信号流,REAPER信号流程图：https://reaperblog.net/wp-content/uploads/2013/04/reaper_signal-flow.jpg,part,"信号流程,信号流",信号,,
剁手,REAPER剁手指南：https://zhuanlan.zhihu.com/p/40136890,part,"剁手,买,购,打折,购买","剁手,购,买,打折",,
midi键盘,为什么midi键盘没有声音：https://zhuanlan.zhihu.com/p/64069221,part,"midi键盘没有声音,midi键盘无声,midi键盘没有声",midi键盘,60,
介绍,REAPER介绍：https://www.zhihu.com/question/65865600/answer/244143880,full,,,,
字幕,REAPER实现字幕：https://zhuanlan.zhihu.com/p/48292367,part,"视频字幕,添加字幕,说明字幕,字幕,做字幕",字幕,30,
按钮,REAPER快捷操作按钮：https://zhuanlan.zhihu.com/p/51682487,part,"操作按钮,快捷按钮,按钮,顶部按钮,顶上按钮",按钮,50,
侧链,"REAPER的的侧链功能：https://docs.reaget.com/%E4%BE%A7%E9%93%BE%E5%8A%9F%E8%83%BD.html
How to Sidechain with 3rd party FX in REAPER：https://reaperblog.net/2017/07/sidechain_routing_again/
How To Sidechain In REAPER DAW 2019 - Compression and Gating 3 ways：https://reaperblog.net/2019/11/sidechain-2019/",part,"侧链,sidechain","侧链,sidechain",30,
midi输入,为插件设置多路输入：https://docs.reaget.com/multi-input_for_plugins.html,part,midi输入,输入,20,midi
midi输出,为插件设置多路输出：https://docs.reaget.com/multi-output_for_plugins.html,part,midi输出,输出,20,midi
路由,REAPER 的路由：https://docs.reaget.com/reaper_routing.html,part,"路由,多通道","路由,多通道",,
无限延音,通过将插件离线来解决音源无限延音的问题：https://docs.reaget.com/solve_stuck_notes.html,part,"插件离线,音源bug,无限延音,停不下来","bug,无限延音",10,
子工程,Subproject 的简单运用：https://github.com/REAPER-CN/Sub-Fun,part,"子工程,subproject","子工程,subproject",30,
安装扩展,如何安装REAPER各类扩展(VLC FFMPEG SWS REAPACK)：https://www.youtube.com/watch?v=gVbMbqGSB7E,part,"扩展,vlc,ffmpeg,sws,reapack",安装,30,
波形缓存,如何管理波形缓存的生成路径：https://zhuanlan.zhihu.com/p/32447322（条目：把所有波形文件都放到另外的文件夹中）,part,"波形,缓存,reapeaks",路径,30,
日经,"@我并发送 日经+下列参数（如 日经reapeaks）：
reapeaks – reapeaks是什么如何单独存放
loop – item怎么取消循环
波纹编辑 – 怎么取消打开波纹编辑
播放指针 – 播放停止后光标位置不变
更改鼠标 – 修改更改鼠标动作",full,,,,
日经reapeaks,如何管理波形缓存的生成路径：https://zhuanlan.zhihu.com/p/32447322（条目：把所有波形文件都放到另外的文件夹中）,part,"reapeaks,reapeak,repeaks,raepeak",日经,30,
日经loop,"单个item设置：
1. 右键点击选中item
2. 点击进入item properties
3. 取消Loop source

全局设置：
1. 打开Preferences
2. Project → Media Item Defaults
3. 按需取消对应item类型的Loop source",part,"loop,循环",日经,31,
日经ripple,"方法1：
左上角找到Ripple editing，点灭图标取消，点亮图标开启（2个状态）。

方法2：
打开action list，搜索ripple editing，有更详细丰富的选择。",part,"ripple,波纹编辑,ripple edit",日经,32,
日经播放光标,"按空格键为停止，光标回到播放初始位置；
按Enter（回车键）为暂停，光标在暂停位置；
可在action list搜索对应快捷键进行修改。",part,"播放光标,播放指针",日经,33,
日经更改鼠标,"方法1（推荐）：
1. 打开Preferences
2. Editing Behavior → Mouse Modifiers
3. 按需修改，包括生效窗口、鼠标具体动作。

方法2：
1. 打开action list
2. 搜索具体鼠标动作
3. 该方式适合在工具栏定制鼠标动作",part,"更改鼠标,修改鼠标操作,更改鼠标操作,修改鼠标",日经,34,
